# x0 y0 width height
       0        0     2048        5 #  Bottom
       0        0        3     4177 #  Left side
    2045        0        3     4177 #  Right side
    1019     4151        2       26 #  Nasty at top
    1027     4151        2       26 #  Nasty at top
    1019     4175       10        2 #  Nasty at top
